tag_name,tag_id,count,excerpt_post_id,wiki_post_id,post_ids_array
.net-4.5,73011,3703,7550742.0,7550741.0,"['18189284', '17656337', '15200264', '12026754']"
.net-assembly,28362,3252,8092608.0,8092607.0,"['17644046', '23059150', '18445757']"
.net-core,108163,40655,26907899.0,26907898.0,"['31907796', '33967714']"
.obj,49963,364,7234188.0,7234187.0,"['11623607', '27777349']"
.post,15570,276,13650081.0,13650080.0,['8032251']
.refresh,10387,16,20044455.0,20044454.0,['162192']
16-bit,16082,404,8053524.0,8053523.0,['23183279']
2-legged,40280,47,8831757.0,8831756.0,['2540228']
2d,2904,7175,8077914.0,8077913.0,"['28601704', '1045219', '25713176', '20591718', '35246992', '9090853', '405042']"
2d-games,72685,1086,14126968.0,14126967.0,['23984660']
2dsphere,96263,68,20042729.0,20042728.0,['37603882']
3-tier,8933,368,8349309.0,8349308.0,['2623160']
32-bit,2912,1358,7145085.0,7145084.0,"['900870', '27824120']"
32bit-64bit,32643,2569,7145021.0,7145020.0,"['4666783', '27442611', '1999013', '14281310', '23884046']"
32feet,82045,147,11565484.0,11565483.0,"['27348441', '30397281']"
3d,309,16646,6552230.0,6552229.0,"['2737452', '28601704', '30187152', '26644833', '37468343', '25875929', '4669526', '1355517', '12438652', '2629671', '36556485', '23895475', '8726415', '17508744', '23709063', '35030390', '10889924', '943067', '12987288', '5816623', '14320069', '2624802', '14545586', '405042']"
3d-engine,22216,63,12513604.0,12513603.0,['2624802']
3d-reconstruction,40528,356,12072263.0,12072262.0,['26806014']
3dsmax,21542,568,3987274.0,3987272.0,"['17676017', '23368967']"
3nf,27948,191,10065480.0,10065479.0,['23725152']
68hc12,82429,51,12686148.0,12686147.0,['36119816']
960.gs,42283,299,5463395.0,5463394.0,['6962190']
a-star,6324,1152,5437542.0,5437541.0,['30324530']
aac,5436,594,5362709.0,5362708.0,"['9832503', '9905605']"
aar,100431,959,22036185.0,22036184.0,['35360938']
abaddressbook,42355,813,10927937.0,10927936.0,"['9077013', '22800634']"
abandonedmutexexception,79245,5,10500450.0,10500449.0,['37745304']
abap,1108,3045,4958361.0,4958360.0,"['24555326', '5462766', '33122686', '7423324']"
abbrevia,100759,11,21674275.0,21674274.0,['2784806']
abbreviation,14253,198,16400260.0,16400259.0,['9191325']
abort,16746,640,13896064.0,13896063.0,['2370541']
abperson,76947,39,10934488.0,10934487.0,['9077013']
absolute-path,14371,805,9927055.0,9927054.0,"['6149873', '17597854', '2043530']"
abstract,13926,2475,10284276.0,10284275.0,['18425065']
abstract-class,1757,5056,5600376.0,5600375.0,"['4401936', '16536008', '14077248', '7269166']"
abstract-data-type,11567,462,14678122.0,14678121.0,['27483523']
abstract-syntax-tree,12917,2797,4003231.0,4003230.0,"['2329242', '5323230', '30746831', '15082213']"
abtest,45681,64,13433228.0,13433227.0,['3071324']
accelerometer,9741,2546,5147260.0,5147259.0,"['31781313', '2773668', '35133926']"
acceptance-testing,6798,585,11478950.0,11478949.0,['1091024']
access-control,7500,1340,8219955.0,8219954.0,"['26119551', '5147256']"
access-modifiers,6986,1016,10453780.0,10453779.0,['4224760']
access-specifier,17298,236,11866926.0,11866925.0,['20821925']
access-token,58149,3707,8249749.0,8249748.0,"['28955541', '35541070', '16231636']"
access-violation,26279,1527,6270097.0,6270096.0,['10645775']
accessibility,2656,7173,4073123.0,4073122.0,"['5940544', '18020061', '739267']"
accessor,7567,845,11934347.0,11934346.0,"['3240947', '3950889']"
accord.net,78446,285,14487999.0,14487998.0,['31967764']
accordion,8956,4055,9765514.0,9765513.0,"['10078617', '12791290', '22817119', '25452573', '20184362', '19239511', '10719931', '20349840', '32646127', '12443597', '32703190', '8199482', '31356180', '26414871']"
account,328,1257,16594889.0,16594888.0,"['36606170', '19751505']"
accountmanager,54804,519,10671859.0,10671858.0,['36357707']
accounts,10734,207,,,['30325029']
ace-plugin,117724,7,35352007.0,35352006.0,['35689252']
achartengine,63243,1219,6225529.0,6225528.0,"['6723044', '14608879']"
ack,26784,261,5425509.0,5425508.0,['14636562']
acl,1576,2720,5147250.0,5147249.0,"['26486946', '7984952', '20123915', '18453779', '30995019', '8573923', '35662409', '5147256']"
acrobat,1242,1545,7658950.0,7658949.0,"['9219807', '32713633', '3669807']"
action,2190,4833,11172149.0,11172148.0,"['18258844', '8866920', '14016978', '29377069', '14134625', '2760669', '21089596']"
actionbarsherlock,76691,3287,8975916.0,8975915.0,"['14691342', '17501868', '18077127', '11393400', '13321455', '14523209', '17067472', '17210143', '16056449', '20883400']"
actionlink,9758,604,9098721.0,9098720.0,"['8866920', '22256383', '2241588']"
actionlistener,16069,3495,7892652.0,7892651.0,"['15100866', '37467174']"
actionmailer,7685,2356,7619906.0,7619905.0,"['12266872', '5021416']"
actionmailer.net,82374,18,,,['11590052']
actionscript,1709,9148,4688329.0,4688328.0,"['5532762', '18290629', '925640', '26617911', '1503693', '2216019', '4649374', '7786518', '10577185', '37158037', '9907206', '6734898', '3994709', '1848145', '1971892']"
actionscript-2,3612,1959,7441930.0,7441929.0,"['23930721', '12153165']"
actionscript-3,14012,41323,3625167.0,3612395.0,"['13519146', '23922699', '27441066', '19159640', '1753659', '20790423', '15997623', '2878127', '8543679', '12811661', '36318002', '4313660', '6327990', '3003875', '5629810', '7039875', '20056655', '2724140', '26540150', '446003', '2096820', '3748089', '9771598', '1615720', '5713830', '36525454', '18811690', '22811589', '24227493', '15140301', '13188723', '1270347', '4106194', '1503693', '5556302', '1831919', '5684000', '2216019', '10680542', '29121931', '15997449', '7295485', '2980476', '1233724', '17307939', '22930227', '11980103', '23156751', '9454439', '699146', '7970079', '16000329', '18695127', '25985139', '9136048', '21472455', '6609604', '11965659', '11926291', '37519335', '23213686', '20586440', '7786518', '16757287', '25390362', '2203925', '1015452', '7822226', '30033237', '37158037', '9907206', '4576719', '3418330', '222592', '6734898', '8203886', '10611975', '6017993', '5779217', '1971892', '1208418', '1312510', '323147', '11930505', '4000721', '2255163', '1028644', '4971592', '1450518', '1249324', '1729470']"
actionview,9769,480,14506748.0,14506747.0,['4255137']
active-attr,80195,12,31127340.0,31127339.0,['12266872']
active-directory,10401,15575,4993579.0,4993578.0,"['36531697', '32716143', '32235545', '30299347', '31073021', '32889768', '19493217', '12200270', '25655035', '31883399', '19437385', '23081001', '11715985', '911142', '1413002', '1459784', '9862464', '30790520', '8517178', '28051124', '12717840', '34357724', '19220117', '11437288', '26517925', '9786724', '31726833', '1101144']"
active-directory-group,17065,353,11085310.0,11085309.0,['15161170']
active-form,92402,179,35310397.0,35310396.0,['36551821']
active-model-serializers,82514,728,12688294.0,12688293.0,"['20461858', '27853056', '30493846', '28709952']"
active-relation,61784,69,6540410.0,6540409.0,['19533468']
activeadmin,72173,3573,7384387.0,7384386.0,"['34195724', '11217280', '23943632', '32126104', '12373381', '32079537', '27891453']"
activemodel,51658,700,10422901.0,10422900.0,['11628341']
activemq,1944,5746,4947921.0,4947920.0,"['4322767', '36081918', '29828483', '34356094', '10114563', '34436847', '30729667', '34018239', '37159486', '22920836', '10096703', '33457701', '24534005', '21358845', '13533308', '27546730', '8540669', '4696814']"
activepivot,84094,78,12473227.0,12473226.0,['25404335']
activeqt,65292,33,8634028.0,8634027.0,['6048308']
activerecord,1141,28366,4985587.0,4985586.0,"['31407754', '11479561', '13466672', '10985767', '15806122', '10377062', '33678979', '8855626', '37631849', '26483817', '22275143', '19011762', '2931840', '36876223', '1892035', '32257329', '24498435', '11420519', '34724609', '37536655', '18652388', '18561903', '24115483', '13574521', '28364369', '31461816', '28735449', '19263146', '27969712', '26879563', '21058550', '13321190', '19576993', '36588403', '20623768', '489641', '11628341', '16620817', '36755754', '7199680', '5929093', '22338073', '4393885', '36484700', '6003575', '4641500', '27404658', '20456701', '18369057', '18264009', '4875911', '6907463', '6627714', '36425524', '5364539', '8138998', '36882376', '32716820', '19777720', '1843857', '25608062', '29760014', '1657457']"
activesupport,11398,570,15313695.0,15313694.0,['16853990']
activex,2628,3824,5144105.0,5144104.0,"['24861692', '28237088', '32789124', '24559934', '13152718', '2907554', '6048308', '8849216', '27360642', '1909780']"
activity-indicator,36585,203,,,['6087234']
activitygroup,63029,194,9528751.0,9528750.0,['5634689']
actor,50617,2010,12272894.0,12272893.0,"['11693691', '33176346', '12530747', '3597059']"
acts-as-tree,10788,52,37372657.0,37372656.0,['1688830']
ad-hoc-distribution,56438,513,15729869.0,15729868.0,['24821021']
ada,6284,2253,3625118.0,3607707.0,['9489510']
adal,99780,1600,21054837.0,21054836.0,['32312710']
adapter,12625,4976,8450327.0,8450326.0,"['8733264', '17065545', '17022335', '23912070', '13672965', '25769868', '12068268', '31126631', '7422136', '37170967']"
adaptive-design,88691,114,14853169.0,14853168.0,['25893290']
